threshold,roc_auc,pr_auc,accuracy,precision,recall,f1,tp,fp,tn,fn,positive_rate_true,positive_rate_pred,segment,n
0.5,0.9223256870315694,0.7301353565498627,0.9054545454545454,0.8666666666666667,0.35135135135135137,0.5,13,2,236,24,0.13454545454545455,0.05454545454545454,red,275
0.5,0.8531274281274281,0.6017696439318615,0.8225602027883396,0.6623376623376623,0.3090909090909091,0.4214876033057851,51,26,598,114,0.20912547528517111,0.09759188846641319,white,789
